Operations,IntLevel,AssassinationLevel,HyperdriveLevel,IntExp
1000,17,43,919,364.2319718967797
2000,77,62,3785,5243.176952443427
3000,138,76,10761,38387.76173118601
4000,191,88,25532,202308.25654528628
5000,237,99,54112,866315.4185169905
6000,279,108,106319,3210106.431802407
7000,317,117,196886,10636607.86284254
8000,353,125,348445,32289186.26289848
9000,386,133,594033,91198054.02072814
10000,417,140,983039,242806622.5930608
11000,447,147,1584303,614069404.4009167
12000,475,153,2495181,1485333614.9522395
13000,502,160,3858852,3460908726.6855526
14000,528,166,5863211,7791637753.777424
15000,553,172,8769253,17011250352.641687
16000,577,177,12934272,36138571860.61984
17000,601,183,18860022,74964780936.65302
18000,623,188,27163676,151932356209.7099
19000,645,193,38704976,301564785536.73047
20000,667,199,54646217,587561902178.5178
21000,687,203,76499801,1125341014301.8765
22000,708,208,106256326,2121410566558.4524
23000,728,213,146434525,3938620316261.779
24000,747,218,200154053,7203801903107.014
25000,766,222,272125260,13019195601674.93
26000,784,227,367114606,23210127170630.37
27000,802,231,493184608,40960825955877.41
28000,820,235,658239429,71442696933137.33
29000,838,239,873604565,123285741011791.42
30000,855,243,1153660398,210672107775425.4
31000,872,248,1516635562,356736488712832.25
32000,888,251,1985215083,598854992655574.8
33000,905,255,2588100895,997101009935995.4
34000,921,259,3360622823,1647053186858195.5
35000,937,263,4346246165,2699634069448154
36000,952,267,5597745149,4391073875778602.5
37000,967,271,7178229860,7087796177297948
38000,983,274,9188013676,11379668959281812
39000,997,278,11712630167,18140078226517570
40000,1012,281,14878116277,28730274965690388
41000,1027,285,18857482816,45263249889880150
42000,1041,288,23808806579,70848694088613976
43000,1055,292,29996665554,110347529583172370
44000,1069,295,37683288913,170937426468390900
45000,1083,299,47163929996,263185137075014180
46000,1097,302,58990878786,403857909278731970
47000,1110,305,73538230370,616311353242802300
48000,1124,308,91401778529,935692489749913200
49000,1137,312,113361114766,1414367033707495700
50000,1150,315,140407003497,2130265252406284800
