kamu/weaken.js:   23:59:18.197 | Batch: 1157 - 7 |       W | +215.00ms
kamu/grow.js:   23:59:18.209 | Batch: 1157 - 8   |    G    | +167.00ms
kamu/hack.js: 23:59:18.257 | Batch: 1158 - 0     | H       | +14.00ms
kamu/hack.js: 23:59:18.257 | Batch: 1158 - 0     | H       | +14.00ms
kamu/weaken.js:   23:59:18.257 | Batch: 1157 - 8 |       W | +195.00ms
kamu/grow.js:   23:59:18.288 | Batch: 1158 - 0   |    G    | +25.00ms
kamu/grow.js:   23:59:18.301 | Batch: 1158 - 0   |    G    | +38.00ms
kamu/grow.js:   23:59:18.301 | Batch: 1158 - 0   |    G    | +38.00ms
kamu/grow.js:   23:59:18.301 | Batch: 1157 - 9   |    G    | +179.00ms
kamu/weaken.js:   23:59:18.303 | Batch: 1158 - 0 |       W | +20.00ms
kamu/hack.js: 23:59:18.337 | Batch: 1158 - 1     | H       | +14.00ms
kamu/weaken.js:   23:59:18.349 | Batch: 1157 - 9 |       W | +207.00ms
kamu/grow.js:   23:59:18.358 | Batch: 1158 - 1   |    G    | +15.00ms
kamu/weaken.js:   23:59:18.384 | Batch: 1158 - 1 |       W | +21.00ms
kamu/hack.js: 23:59:18.424 | Batch: 1158 - 2     | H       | +21.00ms
kamu/grow.js:   23:59:18.435 | Batch: 1158 - 2   |    G    | +12.00ms
kamu/weaken.js:   23:59:18.450 | Batch: 1158 - 2 |       W | +7.00ms
kamu/hack.js: 23:59:18.500 | Batch: 1158 - 3     | H       | +17.00ms
kamu/grow.js:   23:59:18.510 | Batch: 1158 - 3   |    G    | +7.00ms
kamu/grow.js:   23:59:18.510 | Batch: 1158 - 3   |    G    | +7.00ms
kamu/weaken.js:   23:59:18.550 | Batch: 1158 - 3 |       W | +27.00ms
kamu/weaken.js:   23:59:18.562 | Batch: 1158 - 3 |       W | +32.00ms
kamu/hack.js: 23:59:18.603 | Batch: 1158 - 4     | H       | +25.00ms
kamu/grow.js:   23:59:18.611 | Batch: 1158 - 4   |    G    | +13.00ms
kamu/grow.js:   23:59:18.611 | Batch: 1158 - 4   |    G    | +13.00ms
kamu/weaken.js:   23:59:18.635 | Batch: 1158 - 4 |       W | +17.00ms
kamu/hack.js: 23:59:18.700 | Batch: 1158 - 5     | H       | +42.00ms
kamu/grow.js:   23:59:18.704 | Batch: 1158 - 5   |    G    | +26.00ms
kamu/weaken.js:   23:59:18.704 | Batch: 1158 - 5 |       W | +6.00ms
kamu/hack.js: 23:59:18.745 | Batch: 1158 - 6     | H       | +7.00ms
kamu/grow.js:   23:59:18.770 | Batch: 1158 - 6   |    G    | +12.00ms
kamu/weaken.js:   23:59:18.796 | Batch: 1158 - 6 |       W | +18.00ms
kamu/hack.js: 23:59:18.843 | Batch: 1158 - 7     | H       | +25.00ms
kamu/grow.js:   23:59:18.845 | Batch: 1158 - 7   |    G    | +7.00ms
kamu/weaken.js:   23:59:18.922 | Batch: 1158 - 7 |       W | +64.00ms
kamu/hack.js: 23:59:18.955 | Batch: 1158 - 8     | H       | +57.00ms
kamu/grow.js:   23:59:18.967 | Batch: 1158 - 8   |    G    | +49.00ms
kamu/weaken.js:   23:59:18.967 | Batch: 1158 - 8 |       W | +29.00ms
kamu/hack.js: 23:59:19.022 | Batch: 1158 - 9     | H       | +44.00ms
kamu/grow.js:   23:59:19.022 | Batch: 1158 - 9   |    G    | +24.00ms
kamu/weaken.js:   23:59:19.049 | Batch: 1158 - 9 |       W | +31.00ms
kamu/hack.js: 23:59:19.099 | Batch: 1159 - 0     | H       | +13.00ms
kamu/hack.js: 23:59:19.099 | Batch: 1159 - 0     | H       | +13.00ms
kamu/grow.js:   23:59:19.117 | Batch: 1159 - 0   |    G    | +11.00ms
kamu/grow.js:   23:59:19.117 | Batch: 1159 - 0   |    G    | +11.00ms
kamu/weaken.js:   23:59:19.131 | Batch: 1159 - 0 |       W | +5.00ms
kamu/hack.js: 23:59:19.193 | Batch: 1159 - 1     | H       | +27.00ms
kamu/grow.js:   23:59:19.197 | Batch: 1159 - 1   |    G    | +11.00ms
kamu/grow.js:   23:59:19.197 | Batch: 1159 - 1   |    G    | +11.00ms
kamu/grow.js:   23:59:19.197 | Batch: 1159 - 1   |    G    | +11.00ms
kamu/weaken.js:   23:59:19.224 | Batch: 1159 - 1 |       W | +18.00ms
kamu/hack.js: 23:59:19.262 | Batch: 1159 - 2     | H       | +16.00ms
kamu/grow.js:   23:59:19.286 | Batch: 1159 - 2   |    G    | +20.00ms
kamu/weaken.js:   23:59:19.291 | Batch: 1159 - 2 |       W | +5.00ms
kamu/hack.js: 23:59:19.346 | Batch: 1159 - 3     | H       | +20.00ms
kamu/grow.js:   23:59:19.349 | Batch: 1159 - 3   |    G    | +3.00ms
kamu/weaken.js:   23:59:19.393 | Batch: 1159 - 3 |       W | +27.00ms
kamu/hack.js: 23:59:19.418 | Batch: 1159 - 4     | H       | +12.00ms
kamu/grow.js:   23:59:19.444 | Batch: 1159 - 4   |    G    | +18.00ms
kamu/weaken.js:   23:59:19.466 | Batch: 1159 - 4 |       W | +20.00ms
kamu/hack.js: 23:59:19.511 | Batch: 1159 - 5     | H       | +25.00ms
kamu/grow.js:   23:59:19.522 | Batch: 1159 - 5   |    G    | +16.00ms
kamu/weaken.js:   23:59:19.540 | Batch: 1159 - 5 |       W | +14.00ms
kamu/hack.js: 23:59:19.601 | Batch: 1159 - 6     | H       | +35.00ms
kamu/grow.js:   23:59:19.603 | Batch: 1159 - 6   |    G    | +17.00ms
kamu/weaken.js:   23:59:19.626 | Batch: 1159 - 6 |       W | +20.00ms
kamu/hack.js: 23:59:19.665 | Batch: 1159 - 7     | H       | +19.00ms
kamu/grow.js:   23:59:19.698 | Batch: 1159 - 7   |    G    | +32.00ms
kamu/grow.js:   23:59:19.711 | Batch: 1159 - 7   |    G    | +45.00ms
kamu/grow.js:   23:59:19.711 | Batch: 1159 - 7   |    G    | +45.00ms
kamu/weaken.js:   23:59:19.714 | Batch: 1159 - 7 |       W | +28.00ms
kamu/hack.js: 23:59:19.764 | Batch: 1159 - 8     | H       | +38.00ms
kamu/grow.js:   23:59:19.764 | Batch: 1159 - 8   |    G    | +18.00ms
kamu/weaken.js:   23:59:19.798 | Batch: 1159 - 8 |       W | +32.00ms
kamu/hack.js: 23:59:19.832 | Batch: 1159 - 9     | H       | +26.00ms
kamu/grow.js:   23:59:19.866 | Batch: 1159 - 9   |    G    | +40.00ms
kamu/weaken.js:   23:59:19.879 | Batch: 1159 - 9 |       W | +33.00ms
kamu/hack.js: 23:59:19.934 | Batch: 1160 - 0     | H       | +34.00ms
kamu/hack.js: 23:59:19.934 | Batch: 1160 - 0     | H       | +34.00ms
kamu/hack.js: 23:59:19.934 | Batch: 1160 - 0     | H       | +34.00ms
kamu/grow.js:   23:59:19.962 | Batch: 1160 - 0   |    G    | +42.00ms
kamu/grow.js:   23:59:19.973 | Batch: 1160 - 0   |    G    | +53.00ms
kamu/grow.js:   23:59:19.973 | Batch: 1160 - 0   |    G    | +53.00ms
kamu/weaken.js:   23:59:19.984 | Batch: 1160 - 0 |       W | +44.00ms
kamu/hack.js: 23:59:20.023 | Batch: 1160 - 1     | H       | +38.00ms
kamu/grow.js:   23:59:20.037 | Batch: 1160 - 1   |    G    | +32.00ms
kamu/grow.js:   23:59:20.038 | Batch: 1160 - 1   |    G    | +33.00ms
kamu/grow.js:   23:59:20.038 | Batch: 1160 - 1   |    G    | +32.00ms
kamu/grow.js:   23:59:20.038 | Batch: 1160 - 1   |    G    | +32.00ms
kamu/weaken.js:   23:59:20.066 | Batch: 1160 - 1 |       W | +40.00ms
kamu/hack.js: 23:59:20.117 | Batch: 1160 - 2     | H       | +51.00ms
kamu/grow.js:   23:59:20.128 | Batch: 1160 - 2   |    G    | +42.00ms
kamu/weaken.js:   23:59:20.142 | Batch: 1160 - 2 |       W | +36.00ms
kamu/hack.js: 23:59:20.165 | Batch: 1160 - 3     | H       | +19.00ms
kamu/grow.js:   23:59:20.202 | Batch: 1160 - 3   |    G    | +36.00ms
kamu/weaken.js:   23:59:20.210 | Batch: 1160 - 3 |       W | +24.00ms
kamu/hack.js: 23:59:20.258 | Batch: 1160 - 4     | H       | +32.00ms
kamu/grow.js:   23:59:20.266 | Batch: 1160 - 4   |    G    | +20.00ms
kamu/weaken.js:   23:59:20.294 | Batch: 1160 - 4 |       W | +28.00ms
kamu/hack.js: 23:59:20.334 | Batch: 1160 - 5     | H       | +28.00ms
kamu/grow.js:   23:59:20.369 | Batch: 1160 - 5   |    G    | +43.00ms
kamu/weaken.js:   23:59:20.387 | Batch: 1160 - 5 |       W | +41.00ms
kamu/hack.js: 23:59:20.428 | Batch: 1160 - 6     | H       | +42.00ms
kamu/grow.js:   23:59:20.442 | Batch: 1160 - 6   |    G    | +36.00ms
kamu/weaken.js:   23:59:20.462 | Batch: 1160 - 6 |       W | +36.00ms
kamu/hack.js: 23:59:20.494 | Batch: 1160 - 7     | H       | +28.00ms
kamu/grow.js:   23:59:20.514 | Batch: 1160 - 7   |    G    | +28.00ms
kamu/weaken.js:   23:59:20.530 | Batch: 1160 - 7 |       W | +24.00ms
kamu/hack.js: 23:59:20.566 | Batch: 1160 - 8     | H       | +20.00ms
kamu/grow.js:   23:59:20.593 | Batch: 1160 - 8   |    G    | +27.00ms
kamu/weaken.js:   23:59:20.617 | Batch: 1160 - 8 |       W | +31.00ms
kamu/hack.js: 23:59:20.666 | Batch: 1160 - 9     | H       | +40.00ms
kamu/grow.js:   23:59:20.666 | Batch: 1160 - 9   |    G    | +20.00ms
kamu/weaken.js:   23:59:20.690 | Batch: 1160 - 9 |       W | +24.00ms
kamu/hack.js: 23:59:20.768 | Batch: 1161 - 0     | H       | +19.00ms
kamu/hack.js: 23:59:20.768 | Batch: 1161 - 0     | H       | +19.00ms
kamu/grow.js:   23:59:20.795 | Batch: 1161 - 0   |    G    | +26.00ms
kamu/grow.js:   23:59:20.805 | Batch: 1161 - 0   |    G    | +36.00ms
kamu/grow.js:   23:59:20.805 | Batch: 1161 - 0   |    G    | +36.00ms
kamu/grow.js:   23:59:20.805 | Batch: 1161 - 0   |    G    | +36.00ms
kamu/weaken.js:   23:59:20.807 | Batch: 1161 - 0 |       W | +18.00ms
kamu/hack.js: 23:59:20.856 | Batch: 1161 - 1     | H       | +27.00ms
kamu/hack.js: 23:59:20.856 | Batch: 1161 - 1     | H       | +27.00ms
kamu/grow.js:   23:59:20.863 | Batch: 1161 - 1   |    G    | +14.00ms
kamu/weaken.js:   23:59:20.895 | Batch: 1161 - 1 |       W | +26.00ms
kamu/hack.js: 23:59:20.943 | Batch: 1161 - 2     | H       | +34.00ms
kamu/grow.js:   23:59:20.966 | Batch: 1161 - 2   |    G    | +37.00ms
kamu/weaken.js:   23:59:20.966 | Batch: 1161 - 2 |       W | +17.00ms
kamu/hack.js: 23:59:21.008 | Batch: 1161 - 3     | H       | +19.00ms
kamu/grow.js:   23:59:21.042 | Batch: 1161 - 3   |    G    | +33.00ms
kamu/weaken.js:   23:59:21.066 | Batch: 1161 - 3 |       W | +37.00ms
kamu/hack.js: 23:59:21.092 | Batch: 1161 - 4     | H       | +23.00ms
kamu/grow.js:   23:59:21.106 | Batch: 1161 - 4   |    G    | +17.00ms
kamu/weaken.js:   23:59:21.149 | Batch: 1161 - 4 |       W | +40.00ms
kamu/hack.js: 23:59:21.166 | Batch: 1161 - 5     | H       | +17.00ms
kamu/grow.js:   23:59:21.205 | Batch: 1161 - 5   |    G    | +36.00ms
kamu/weaken.js:   23:59:21.207 | Batch: 1161 - 5 |       W | +18.00ms
kamu/hack.js: 23:59:21.259 | Batch: 1161 - 6     | H       | +30.00ms
kamu/grow.js:   23:59:21.266 | Batch: 1161 - 6   |    G    | +17.00ms
