kamu/grow.js:   10:40:30.358 | Batch: 68 - 2   |    G    | +16.69ms
kamu/weaken.js:   10:40:30.385 | Batch: 68 - 2 |       W | +23.69ms
kamu/grow.js:   10:40:30.393 | Batch: 67 - 7   |    G    | +481.69ms
kamu/hack.js: 10:40:30.419 | Batch: 67 - 5     | H       | +687.69ms
kamu/hack.js: 10:40:30.427 | Batch: 68 - 3     | H       | +25.69ms
kamu/grow.js:   10:40:30.455 | Batch: 68 - 3   |    G    | +33.69ms
kamu/weaken.js:   10:40:30.476 | Batch: 68 - 3 |       W | +34.69ms
kamu/grow.js:   10:40:30.487 | Batch: 67 - 8   |    G    | +495.69ms
kamu/hack.js: 10:40:30.503 | Batch: 67 - 6     | H       | +691.69ms
kamu/hack.js: 10:40:30.503 | Batch: 68 - 4     | H       | +20.69ms
kamu/grow.js:   10:40:30.526 | Batch: 68 - 4   |    G    | +23.69ms
kamu/weaken.js:   10:40:30.547 | Batch: 68 - 4 |       W | +24.69ms
kamu/grow.js:   10:40:30.547 | Batch: 67 - 9   |    G    | +474.69ms
kamu/hack.js: 10:40:30.575 | Batch: 67 - 7     | H       | +683.69ms
kamu/hack.js: 10:40:30.587 | Batch: 68 - 5     | H       | +24.69ms
kamu/grow.js:   10:40:30.596 | Batch: 68 - 5   |    G    | +13.69ms
kamu/weaken.js:   10:40:30.624 | Batch: 68 - 5 |       W | +21.69ms
kamu/hack.js: 10:40:30.645 | Batch: 67 - 8     | H       | +673.69ms
kamu/hack.js: 10:40:30.660 | Batch: 68 - 6     | H       | +17.69ms
kamu/grow.js:   10:40:30.673 | Batch: 68 - 6   |    G    | +10.69ms
kamu/weaken.js:   10:40:30.698 | Batch: 68 - 6 |       W | +15.69ms
kamu/hack.js: 10:40:30.735 | Batch: 67 - 9     | H       | +682.69ms
kamu/hack.js: 10:40:30.736 | Batch: 68 - 7     | H       | +13.69ms
kamu/grow.js:   10:40:30.760 | Batch: 68 - 7   |    G    | +17.69ms
kamu/weaken.js:   10:40:30.774 | Batch: 68 - 7 |       W | +11.69ms
kamu/hack.js: 10:40:30.828 | Batch: 68 - 8     | H       | +25.69ms
kamu/grow.js:   10:40:30.833 | Batch: 68 - 8   |    G    | +10.69ms
kamu/weaken.js:   10:40:30.854 | Batch: 68 - 8 |       W | +11.69ms
kamu/hack.js: 10:40:30.900 | Batch: 68 - 9     | H       | +17.69ms
